Description;DistinguishedName;Enabled;GivenName;Name;ObjectClass;ObjectGUID;SamAccountName;Surname;UserPrincipalName
Anton Anderson, Sekundar;CN=anton.anderson,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Anton;anton.anderson;user;0cb88ff7-83bb-4eb6-82e3-d4d79512f3ba;anton.anderson;Anderson;a.anderson@mail.xyz
Jamie Andres, Sekundar;CN=jamie.andres,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Jamie;jamie.andres;user;2664cfd6-a3d1-4525-b902-13e96169b976;jamie.andres;Andres;keineMailAddy
Henrik Andrews, Sekundar;CN=henrik.andrews,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Henrik;henrik.andrews;user;6c626da4-4072-4e32-b299-774e154eac2a;henrik.andrews;Andrews;keineMailAddy
Dario Apel, Sekundar;CN=dario.apel,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Dario;dario.apel;user;5bdce017-5923-45fb-b465-cf54f5dcc0b9;dario.apel;Apel;dario.apel@mail.xyz
Patrik Apel, Sekundar;CN=patrik.apel,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Patrik;patrik.apel;user;d8f0bd0f-9c91-45bd-9868-dc33eff67a7d;patrik.apel;Apel;p.apel@mail.xyz
Harald Arge, Sekundar;CN=harald.arge,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Harald;harald.arge;user;4ae3cd2d-5804-477f-9a92-773dc3266dce;harald.arge;Arge;keineMailAddy
Tara Arlt, Sekundar;CN=tara.arlt,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Tara;tara.arlt;user;305fee35-3f3b-430c-b0cb-a14923795eb0;tara.arlt;Arlt;tara.arlt@mail.xyz
Jakob Arndt, Sekundar;CN=jakob.arndt,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Jakob;jakob.arndt;user;7da30fc2-f370-4b50-880f-947b44cade37;jakob.arndt;Arndt;j.arndt@mail.xyz
Klemens Arndt, Sekundar;CN=klemens.arndt,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Klemens;klemens.arndt;user;c2a30572-5cee-4d11-93c5-87311f381d16;klemens.arndt;Arndt;keineMailAddy
Christopher Arnold, Sekundar;CN=christopher.arnold,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Christopher;christopher.arnold;user;c601de0b-adc0-415c-b30e-08ada5f44070;christopher.arnold;Arnold;c.arnold@mail.xyz
Emelie Atelco, Sekundar;CN=emelie.atelco,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Emelie;emelie.atelco;user;61711752-b1e8-4a0d-8ccc-620074926532;emelie.atelco;Atelco;keineMailAddy
Gudrun Atkins, Sekundar;CN=gudrun.atkins,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Gudrun;gudrun.atkins;user;b778a780-69b7-4f1f-a641-57441e3bbc37;gudrun.atkins;Atkins;gudrun.atkins@mail.xyz
Karolina Atkins, Sekundar;CN=karolina.atkins,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Karolina;karolina.atkins;user;8e14f242-27cc-46a4-8c32-5a468614efa8;karolina.atkins;Atkins;karolina.atkins@mail.xyz
Vanessa Atkins, Sekundar;CN=vanessa.atkins,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Vanessa;vanessa.atkins;user;454a41b4-9d4a-4857-83a8-5095e65277af;vanessa.atkins;Atkins;vanessa.atkins@mail.xyz
Keno Auer, Sekundar;CN=keno.auer,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Keno;keno.auer;user;7331a769-23e5-41a2-abd8-62d628ef20d0;keno.auer;Auer;keno.auer@mail.xyz
Luna Augustin, Sekundar;CN=luna.augustin,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Luna;luna.augustin;user;aac26db2-6a43-4822-9c1c-953e8f674839;luna.augustin;Augustin;luna.augustin@mail.xyz
Mathies Aumann, Sekundar;CN=mathies.aumann,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Mathies;mathies.aumann;user;d08b8a25-ba20-426b-aa56-ba2fc81a58f0;mathies.aumann;Aumann;mathies.aumann@mail.xyz
Uwe Aumann, Sekundar;CN=uwe.aumann,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Uwe;uwe.aumann;user;df887d82-cb6a-4373-926b-c976286e3258;uwe.aumann;Aumann;keineMailAddy
Torben Aust, Sekundar;CN=torben.aust,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Torben;torben.aust;user;177befe9-ec7a-48f1-bd0c-4d3155c0f850;torben.aust;Aust;t.aust@mail.xyz
Ida Axmann, Sekundar;CN=ida.axmann,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Ida;ida.axmann;user;79c951fb-bc2f-409c-aff4-f46708039502;ida.axmann;Axmann;ida.axmann@mail.xyz
Ivonne Axmann, Sekundar;CN=ivonne.axmann,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Ivonne;ivonne.axmann;user;9b4833c7-b855-4211-ae66-763619028347;ivonne.axmann;Axmann;ivonne.axmann@mail.xyz
Ian Aydin, Sekundar;CN=ian.aydin,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Ian;ian.aydin;user;b1cc2202-794d-48e4-a7c5-9beaa22569fb;ian.aydin;Aydin;ian.aydin@mail.xyz
Kimberley Bach, Sekundar;CN=kimberley.bach,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Kimberley;kimberley.bach;user;9614937f-d9ac-48fc-b143-7ab6d2990428;kimberley.bach;Bach;k.bach@mail.xyz
Rebecca Bach, Sekundar;CN=rebecca.bach,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Rebecca;rebecca.bach;user;24f458c5-586a-4d4f-9d10-551726805390;rebecca.bach;Bach;rebecca.bach@mail.xyz
N. B., Verwaltung;CN=nicole.bacher,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Nicole;nicole.bacher;user;8ff9b6f6-8051-4491-b50c-8f126fed79ac;nicole.bacher;Bacher;n.bacher@mail.xyz
Niels Bacher, Sekundar;CN=niels.bacher,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Niels;niels.bacher;user;4a07c7d7-b002-476e-8c13-845dacb59a96;niels.bacher;Bacher;n.bacher@mail.xyz
Paulina Bacher, Sekundar;CN=paulina.bacher,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Paulina;paulina.bacher;user;45e642af-a2da-4b9f-b8f6-1759e5af2c8f;paulina.bacher;Bacher;p.bacher@mail.xyz
Herbert Baechle, Sekundar;CN=herbert.baechle,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Herbert;herbert.baechle;user;6b6de41d-a7c9-49bf-b96d-a874ae12c90e;herbert.baechle;Baechle;herbert.baechle@mail.xyz
Katarina Bachmaier, Sekundar;CN=katarina.bachmaier,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Katarina;katarina.bachmaier;user;2d140f2e-5e42-4be8-92f1-30b44209292c;katarina.bachmaier;Bachmaier;k.bachmaier@mail.xyz
Kimberly Bachmeier, Sekundar;CN=kimberly.bachmeier,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Kimberly;kimberly.bachmeier;user;27e04f6f-7067-4289-9e23-9ffee1c6842a;kimberly.bachmeier;Bachmeier;k.bachmeier@mail.xyz
Kristin Bachmeier, Sekundar;CN=kristin.bachmeier,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Kristin;kristin.bachmeier;user;c35dec7b-ed1e-411a-b083-a84a6c5c6d94;kristin.bachmeier;Bachmeier;keineMailAddy
Laurin Back, Sekundar;CN=laurin.back,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Laurin;laurin.back;user;4b92c306-c8c2-408f-88ed-387221cef7c4;laurin.back;Back;l.back@mail.xyz
Magdalena Back, Sekundar;CN=magdalena.back,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Magdalena;magdalena.back;user;d38006a3-376d-4e9d-8ef9-4af2fb572d2f;magdalena.back;Back;keineMailAddy
Madita Baecker, Sekundar;CN=madita.baecker,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Madita;madita.baecker;user;8414329b-0cc4-437b-9d9d-6e6fc1fbe0a7;madita.baecker;Baecker;m.baecker@mail.xyz
Hannah Backes, Sekundar;CN=hannah.backes,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Hannah;hannah.backes;user;1b11b960-e98d-493f-bdc9-15d40aaafa62;hannah.backes;Backes;h.backes@mail.xyz
Christine Bad, Sekundar;CN=christine.bad,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Christine;christine.bad;user;8a120517-e74a-4b42-ac47-f99a663b203c;christine.bad;Bad;c.bad@mail.xyz
Isabel Bad, Sekundar;CN=isabel.bad,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Isabel;isabel.bad;user;02747770-2c1b-4355-b0f6-92788e4509ee;isabel.bad;Bad;keineMailAddy
Levin Bad, Sekundar;CN=levin.bad,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Levin;levin.bad;user;7f3c8d3d-274f-4e7f-8352-30ef21311969;levin.bad;Bad;l.bad@mail.xyz
Fiona Bade, Sekundar;CN=fiona.bade,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Fiona;fiona.bade;user;40f57770-a46c-440c-88be-a9f10429581d;fiona.bade;Bade;f.bade@mail.xyz
Kaete Bade, Sekundar;CN=kaete.bade,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Kaete;kaete.bade;user;cc5cecc5-7fef-407f-bf33-afc0cc25ba84;kaete.bade;Bade;k.bade@mail.xyz
Fabio Bader, Sekundar;CN=fabio.bader,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Fabio;fabio.bader;user;296c5b5b-6b6b-453d-9fea-dca0db6e7750;fabio.bader;Bader;fabio.bader@mail.xyz
Helena Bahr, Sekundar;CN=helena.bahr,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Helena;helena.bahr;user;412a684b-baf0-4923-9758-09f375f4ba66;helena.bahr;Bahr;helena.bahr@mail.xyz
Karoline Bahr, Sekundar;CN=karoline.bahr,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Karoline;karoline.bahr;user;bfbf3c75-f111-40cc-a56b-c20b4b835d0b;karoline.bahr;Bahr;karoline.bahr@mail.xyz
Sofia Bahr, Sekundar;CN=sofia.bahr,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Sofia;sofia.bahr;user;46a4cb46-adc6-4c09-a536-ab3c1628dc19;sofia.bahr;Bahr;sofia.bahr@mail.xyz
Sara Baehr, Sekundar;CN=sara.baehr,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Sara;sara.baehr;user;74facda1-5866-4a55-b16d-380a66166b6d;sara.baehr;Baehr;sara.baehr@mail.xyz
Sophie Baehr, Sekundar;CN=sophie.baehr,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Sophie;sophie.baehr;user;d5efd76c-2844-4cde-b1e3-f35d69607687;sophie.baehr;Baehr;s.baehr@mail.xyz
Jessica Baier, Sekundar;CN=jessica.baier,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Jessica;jessica.baier;user;3c50cc46-f706-481c-8e22-852e86a17b98;jessica.baier;Baier;jessica.baier@mail.xyz
Annica Baierl, Sekundar;CN=annica.baierl,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Annica;annica.baierl;user;92c2ec11-0c9a-45bc-a682-1f3c74195af2;annica.baierl;Baierl;annica.baierl@mail.xyz
Christoph Baierl, Sekundar;CN=christoph.baierl,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Christoph;christoph.baierl;user;c7b92cc4-c30e-426a-a871-6cdefb39a4a0;christoph.baierl;Baierl;c.baierl@mail.xyz
Emely Baierl, Sekundar;CN=emely.baierl,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Emely;emely.baierl;user;18ee46ff-5250-47b6-ab69-967f4a1d33db;emely.baierl;Baierl;keineMailAddy
Josephine Bailey, Sekundar;CN=josephine.bailey,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Josephine;josephine.bailey;user;e0d8b44d-4dba-491e-b637-9bc0060fa389;josephine.bailey;Bailey;j.bailey@mail.xyz
Maximilian Baker, Sekundar;CN=maximilian.baker,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Maximilian;maximilian.baker;user;5ccc9e7a-1b0c-4f3b-91d7-a13c5c06bf41;maximilian.baker;Baker;m.baker@mail.xyz
Gerhardt Baldauf, Sekundar;CN=gerhardt.baldauf,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Gerhardt;gerhardt.baldauf;user;326d3665-007e-4ee5-81e1-86ef39631b8c;gerhardt.baldauf;Baldauf;gerhardt.baldauf@mail.xyz
Juergen Baldauf, Sekundar;CN=juergen.baldauf,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Juergen;juergen.baldauf;user;441cece4-0541-4e62-a93c-d25a10c2fae8;juergen.baldauf;Baldauf;j.baldauf@mail.xyz
Karoline Baldwin, Sekundar;CN=karoline.baldwin,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Karoline;karoline.baldwin;user;9dc5550b-887a-4853-a4a2-2617e4f3c90b;karoline.baldwin;Baldwin;karoline.baldwin@mail.xyz
Marco Baldwin, Sekundar;CN=marco.baldwin,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Marco;marco.baldwin;user;13634609-c475-452f-ab09-89c6265aa4a5;marco.baldwin;Baldwin;marco.baldwin@mail.xyz
Detlev Ball, Sekundar;CN=detlev.ball,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Detlev;detlev.ball;user;4348761e-0fd0-4ec0-9ff3-ea5c83a73be6;detlev.ball;Ball;d.ball@mail.xyz
Laila Ball, Sekundar;CN=laila.ball,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Laila;laila.ball;user;a5fbdc52-d618-460e-bc0a-5c8628356fc6;laila.ball;Ball;l.ball@mail.xyz
Anika Ballmann, Sekundar;CN=anika.ballmann,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Anika;anika.ballmann;user;c2e7fdba-6e4a-444d-aed5-980b27f8fbe5;anika.ballmann;Ballmann;anika.ballmann@mail.xyz
Matti Balz, Sekundar;CN=matti.balz,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Matti;matti.balz;user;f7a2fb9a-95d8-40f6-a518-e8247f7225d7;matti.balz;Balz;keineMailAddy
Samuel Balzer, Sekundar;CN=samuel.balzer,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Samuel;samuel.balzer;user;79ca1459-190c-4831-8192-31f0a898dea4;samuel.balzer;Balzer;keineMailAddy
Andrea Bamberg, Sekundar;CN=andrea.bamberg,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Andrea;andrea.bamberg;user;73758108-dbc3-4612-8432-b2f850c4ebac;andrea.bamberg;Bamberg;andrea.bamberg@mail.xyz
Catarina Bamberger, Sekundar;CN=catarina.bamberger,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Catarina;catarina.bamberger;user;9d5de49f-a91e-492b-93d1-ec81a15169d6;catarina.bamberger;Bamberger;catarina.bamberger@mail.xyz
Ole Baran, Sekundar;CN=ole.baran,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Ole;ole.baran;user;84b3c436-7ff5-489a-aa8a-653f36c84f95;ole.baran;Baran;ole.baran@mail.xyz
Laurin Barber, Sekundar;CN=laurin.barber,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Laurin;laurin.barber;user;9a0fe8ae-f67b-4c17-a1bf-054fed1ac080;laurin.barber;Barber;laurin.barber@mail.xyz
Ulrich Barber, Sekundar;CN=ulrich.barber,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Ulrich;ulrich.barber;user;5e05a0b5-53cc-4065-8414-b1920f4aa0a8;ulrich.barber;Barber;u.barber@mail.xyz
Isabella Barilovic, Sekundar;CN=isabella.barilovic,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Isabella;isabella.barilovic;user;51690c38-5152-4d6a-86d3-e0c4747db7b8;isabella.barilovic;Barilovic;i.barilovic@mail.xyz
Luca Barilovic, Sekundar;CN=luca.barilovic,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Luca;luca.barilovic;user;b9fd7d21-6032-401d-ab6a-24eb9cfc98a8;luca.barilovic;Barilovic;l.barilovic@mail.xyz
Celina Barker, Sekundar;CN=celina.barker,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Celina;celina.barker;user;daa1716a-18c2-49ff-b9ea-402b1db73695;celina.barker;Barker;c.barker@mail.xyz
Isabel Barrett, Sekundar;CN=isabel.barrett,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Isabel;isabel.barrett;user;6fbb874d-7da9-483f-a509-2be2e446efae;isabel.barrett;Barrett;i.barrett@mail.xyz
Janis Barrett, Sekundar;CN=janis.barrett,OU=ab-2007,OU=Schule und Benutzer,DC=gertzenstein,DC=local;True;Janis;janis.barrett;user;688cf679-1d36-4b50-9473-2e5e32e38607;janis.barrett;Barrett;j.barrett@mail.xyz
